CustomerID,Gender,Age,SeniorCitizen,Partner,Dependents,TenureMonths,PhoneService,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaymentMethod,MonthlyCharges,TotalCharges,SupportTickets,SatisfactionScore,Churn,TenureGroup,MonthlyChargeCategory,SupportLevel,AverageMonthlySpend
CUST000024,Female,25,0,Yes,Yes,65,Yes,Cable,Yes,No,No,Yes,No,No,One year,Electronic Check,72.56,4742.77,1,3,No,4-6 Years,High,Low,72.96569230769231
CUST000025,Female,38,0,No,No,52,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,Credit Card,69.63,3612.35,2,5,Yes,4-6 Years,Medium,Medium,69.46826923076922
CUST000026,Female,47,0,No,No,41,No,DSL,Yes,Yes,No,No,Yes,Yes,One year,Credit Card,79.41,3292.6,3,2,Yes,2-4 Years,High,Medium,80.30731707317074
CUST000027,Female,80,1,Yes,Yes,31,Yes,Cable,No,No,No,Yes,Yes,Yes,Two year,Electronic Check,115.7,3620.11,1,2,Yes,2-4 Years,High,Low,116.77774193548387
CUST000028,Male,47,0,Yes,No,66,Yes,Fiber Optic,No,No,No,No,No,Yes,One year,Mailed Check,58.43,3850.39,0,2,No,4-6 Years,Medium,Low,58.33924242424242
CUST000029,Female,67,1,Yes,Yes,35,No,Fiber Optic,Yes,No,No,No,Yes,Yes,Month-to-month,Mailed Check,76.57,2703.22,1,2,Yes,2-4 Years,High,Low,77.23485714285714
CUST000030,Female,39,0,No,No,52,No,Fiber Optic,No,Yes,No,No,Yes,No,Month-to-month,Mailed Check,69.62,3662.65,1,4,Yes,4-6 Years,Medium,Low,70.43557692307692
CUST000031,Male,69,1,No,No,69,No,Fiber Optic,No,Yes,No,No,No,Yes,Two year,Credit Card,101.6,7068.09,0,5,Yes,4-6 Years,High,Low,102.43608695652173
CUST000032,Male,55,0,Yes,No,50,No,Fiber Optic,Yes,Yes,No,No,No,Yes,Month-to-month,Bank Transfer,65.67,3314.85,0,4,Yes,4-6 Years,Medium,Low,66.297
CUST000033,Male,34,0,No,No,53,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Electronic Check,60.45,3218.41,5,2,Yes,4-6 Years,Medium,High,60.724716981132076
CUST000034,Male,54,0,No,No,14,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Mailed Check,45.97,631.18,4,2,Yes,1-2 Years,Low,High,45.08428571428571
CUST000035,Female,24,0,Yes,No,31,Yes,DSL,No,No,No,Yes,No,Yes,Two year,Mailed Check,50.38,1514.44,3,3,No,2-4 Years,Low,Medium,48.85290322580645
CUST000036,Male,63,1,No,No,58,No,Fiber Optic,No,No,No,No,No,Yes,Two year,Electronic Check,68.38,3939.51,1,4,Yes,4-6 Years,Medium,Low,67.92258620689655
CUST000037,Female,54,0,No,No,59,No,Fiber Optic,Yes,No,Yes,No,No,No,Month-to-month,Bank Transfer,67.88,4011.61,2,5,No,4-6 Years,Medium,Medium,67.99338983050848
CUST000038,Female,33,0,No,No,10,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Credit Card,49.8,474.74,2,5,Yes,0-1 Year,Low,Medium,47.474000000000004
CUST000039,Female,51,0,No,No,70,No,Unknown,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed Check,24.67,1699.41,1,3,Yes,4-6 Years,Low,Low,24.277285714285714
CUST000040,Male,38,0,Yes,Yes,24,No,Cable,No,Yes,Yes,No,Yes,No,Month-to-month,Electronic Check,24.88,622.08,0,2,Yes,1-2 Years,Low,Low,25.92
CUST000041,Female,53,0,Yes,No,6,Yes,Cable,Yes,No,No,No,No,No,Month-to-month,Electronic Check,56.08,306.78,0,4,Yes,0-1 Year,Medium,Low,51.129999999999995
CUST000042,Female,43,0,Yes,No,8,Yes,DSL,Yes,No,Yes,Yes,Yes,No,One year,Credit Card,99.34,827.8,1,4,Yes,0-1 Year,High,Low,103.475
CUST000043,Female,37,0,No,No,56,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Electronic Check,44.66,2459.74,2,4,Yes,4-6 Years,Low,Medium,43.92392857142857
CUST000044,Male,36,0,Yes,Yes,60,No,Fiber Optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,Credit Card,67.41,4093.61,2,2,Yes,4-6 Years,Medium,Medium,68.22683333333333
CUST000045,Female,68,1,No,No,21,No,Fiber Optic,No,No,No,No,No,Yes,One year,Mailed Check,60.57,1300.11,2,5,No,1-2 Years,Medium,Medium,61.91
CUST000046,Male,32,0,No,No,11,Yes,DSL,No,No,No,Yes,No,No,Two year,Mailed Check,79.91,860.77,0,3,No,0-1 Year,High,Low,78.25181818181818
CUST000047,Male,72,1,No,No,13,No,Fiber Optic,No,No,Yes,No,Yes,No,Month-to-month,Electronic Check,66.12,915.98,0,4,No,1-2 Years,Medium,Low,70.46000000000001
CUST000048,Female,60,1,No,No,0,No,Fiber Optic,No,No,Yes,Yes,No,Yes,Two year,Mailed Check,91.62,45.7,0,4,Yes,0-1 Year,High,Low,0.0
CUST000049,Male,63,1,No,No,30,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Bank Transfer,85.72,2572.66,0,3,Yes,2-4 Years,High,Low,85.75533333333333
CUST000050,Female,80,1,Yes,Yes,61,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Two year,Bank Transfer,90.72,5561.05,1,5,No,4-6 Years,High,Low,91.16475409836066
CUST000051,Male,73,1,No,No,62,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Credit Card,35.88,2267.28,1,4,Yes,4-6 Years,Low,Low,36.56903225806452
CUST000052,Female,63,1,No,No,60,Yes,Unknown,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Electronic Check,33.52,1966.35,1,5,Yes,4-6 Years,Low,Low,32.7725
CUST000053,Female,73,1,Yes,Yes,12,Yes,DSL,No,Yes,Yes,No,No,No,One year,Mailed Check,40.9,508.78,2,3,No,0-1 Year,Low,Medium,42.39833333333333
CUST000054,Female,42,0,No,No,68,Yes,Cable,Yes,Yes,No,Yes,Yes,No,Two year,Electronic Check,49.2,3338.84,3,3,No,4-6 Years,Low,Medium,49.10058823529412
CUST000055,Male,38,0,No,No,5,No,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Mailed Check,69.16,360.17,3,2,Yes,0-1 Year,Medium,Medium,72.034
CUST000056,Female,32,0,No,No,18,Yes,DSL,No,No,Yes,Yes,No,No,Two year,Bank Transfer,51.29,939.89,1,4,No,1-2 Years,Low,Low,52.21611111111111
CUST000057,Female,72,1,Yes,No,58,Yes,Cable,Yes,No,No,No,No,Yes,Two year,Mailed Check,66.12,3807.9,0,5,No,4-6 Years,Medium,Low,65.65344827586208
CUST000058,Female,76,1,No,No,6,Yes,Cable,No,Yes,Yes,No,Yes,Yes,Two year,Electronic Check,76.91,438.53,0,4,Yes,0-1 Year,High,Low,73.08833333333332
CUST000059,Male,64,1,Yes,No,46,No,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Mailed Check,79.07,3693.31,0,3,No,2-4 Years,High,Low,80.28934782608695
CUST000060,Male,69,1,No,No,43,Yes,Unknown,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Credit Card,40.25,1773.97,0,4,No,2-4 Years,Low,Low,41.25511627906977
CUST000061,Male,41,0,No,No,71,Yes,Fiber Optic,No,No,No,No,No,Yes,One year,Mailed Check,78.15,5491.65,2,5,No,4-6 Years,High,Medium,77.34718309859154
CUST000062,Male,59,0,No,No,28,No,Unknown,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Electronic Check,20.0,516.77,1,1,Yes,2-4 Years,Low,Low,18.456071428571427
CUST000063,Male,25,0,Yes,No,63,No,Fiber Optic,No,No,Yes,No,Yes,No,One year,Bank Transfer,95.85,5982.48,3,3,Yes,4-6 Years,High,Medium,94.96
CUST000064,Male,78,1,No,No,56,No,Fiber Optic,No,Yes,No,No,Yes,Yes,Two year,Mailed Check,60.23,3323.88,0,2,No,4-6 Years,Medium,Low,59.355000000000004
CUST000065,Female,21,0,Yes,No,2,Yes,Cable,Yes,Yes,Yes,Yes,No,Yes,One year,Electronic Check,30.34,33.95,0,2,No,0-1 Year,Low,Low,16.975
CUST000066,Male,34,0,Yes,No,69,Yes,Fiber Optic,No,Yes,No,Yes,Yes,No,Month-to-month,Mailed Check,61.11,4219.72,3,1,Yes,4-6 Years,Medium,Medium,61.15536231884058
CUST000067,Male,50,0,No,No,46,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,Electronic Check,55.23,2539.41,2,4,Yes,2-4 Years,Medium,Medium,55.2045652173913
CUST000068,Male,38,0,Yes,Yes,10,No,DSL,No,No,No,No,Yes,Yes,Two year,Credit Card,81.16,803.21,1,2,Yes,0-1 Year,High,Low,80.321
CUST000069,Female,43,0,Yes,Yes,58,No,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Electronic Check,75.76,4423.43,0,3,No,4-6 Years,High,Low,76.26603448275863
CUST000070,Female,21,0,Yes,Yes,71,No,Cable,Yes,No,No,No,Yes,Yes,Month-to-month,Mailed Check,52.53,3696.54,4,1,Yes,4-6 Years,Medium,High,52.063943661971834
CUST000071,Male,41,0,No,No,71,No,DSL,Yes,No,Yes,Yes,No,No,Two year,Bank Transfer,52.77,3687.4,3,2,No,4-6 Years,Medium,Medium,51.93521126760564
CUST000072,Male,22,0,Yes,Yes,51,No,DSL,No,No,No,Yes,No,No,One year,Electronic Check,68.33,3530.83,2,2,Yes,4-6 Years,Medium,Medium,69.23196078431373
CUST000073,Male,61,1,No,No,6,No,Fiber Optic,No,No,No,No,Yes,Yes,Month-to-month,Electronic Check,78.85,447.09,3,5,Yes,0-1 Year,High,Medium,74.515
CUST000074,Male,20,0,No,No,39,Yes,Unknown,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Bank Transfer,20.0,833.44,2,2,No,2-4 Years,Low,Medium,21.370256410256413
CUST000075,Male,38,0,Yes,Yes,37,Yes,Fiber Optic,No,Yes,No,Yes,No,Yes,Month-to-month,Mailed Check,94.03,3529.65,3,3,Yes,2-4 Years,High,Medium,95.39594594594595
CUST000076,Female,63,1,No,No,51,Yes,Fiber Optic,No,Yes,No,No,Yes,No,Two year,Credit Card,75.92,3864.2,1,4,No,4-6 Years,High,Low,75.76862745098039
CUST000077,Female,73,1,No,No,50,Yes,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Credit Card,80.48,3994.72,2,2,Yes,4-6 Years,High,Medium,79.89439999999999
CUST000078,Female,29,0,No,No,9,No,Cable,No,No,Yes,No,Yes,No,Month-to-month,Bank Transfer,59.63,572.23,4,5,Yes,0-1 Year,Medium,High,63.58111111111111
CUST000079,Female,22,0,No,No,64,Yes,DSL,No,No,Yes,Yes,No,No,One year,Electronic Check,34.25,2185.97,0,5,No,4-6 Years,Low,Low,34.15578125
CUST000080,Female,56,0,Yes,No,41,No,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Credit Card,27.99,1131.26,1,3,No,2-4 Years,Low,Low,27.59170731707317
CUST000081,Male,61,1,No,No,43,Yes,Fiber Optic,No,No,No,Yes,No,Yes,One year,Credit Card,116.66,5066.39,1,3,No,2-4 Years,High,Low,117.82302325581396
CUST000082,Male,26,0,No,No,50,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Credit Card,21.39,1050.51,0,4,Yes,4-6 Years,Low,Low,21.0102
CUST000083,Male,27,0,No,No,17,Yes,Cable,Yes,No,Yes,No,Yes,Yes,Month-to-month,Credit Card,38.92,688.18,2,1,Yes,1-2 Years,Low,Medium,40.48117647058823
CUST000084,Female,80,1,No,No,30,No,Cable,Yes,Yes,No,No,Yes,No,One year,Mailed Check,48.97,1464.5,1,3,No,2-4 Years,Low,Low,48.81666666666667
CUST000085,Female,51,0,Yes,No,64,Yes,Cable,No,Yes,No,No,Yes,Yes,Month-to-month,Credit Card,55.82,3545.21,2,5,Yes,4-6 Years,Medium,Medium,55.39390625
CUST000086,Male,23,0,No,No,55,Yes,Cable,No,Yes,No,No,Yes,No,Two year,Bank Transfer,43.27,2346.79,2,3,No,4-6 Years,Low,Medium,42.66890909090909
CUST000087,Male,68,1,Yes,Yes,42,No,Unknown,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Credit Card,20.0,871.06,1,4,No,2-4 Years,Low,Low,20.73952380952381
CUST000088,Male,75,1,Yes,Yes,0,No,Cable,Yes,No,Yes,No,Yes,Yes,Month-to-month,Mailed Check,70.34,0.0,0,4,Yes,0-1 Year,Medium,Low,0.0
CUST000089,Male,58,0,Yes,Yes,2,No,Fiber Optic,Yes,No,Yes,Yes,No,Yes,Two year,Electronic Check,61.11,109.07,0,4,Yes,0-1 Year,Medium,Low,54.535
CUST000090,Female,80,1,No,No,49,No,Cable,Yes,No,Yes,Yes,No,Yes,Month-to-month,Bank Transfer,84.9,4197.72,0,2,No,4-6 Years,High,Low,85.66775510204081
CUST000091,Female,80,1,Yes,No,59,No,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Bank Transfer,80.72,4764.33,2,5,No,4-6 Years,High,Medium,80.7513559322034
CUST000092,Male,66,1,No,No,4,Yes,Fiber Optic,No,No,Yes,No,No,No,One year,Mailed Check,45.98,164.6,3,2,Yes,0-1 Year,Low,Medium,41.15
CUST000093,Female,41,0,Yes,No,63,Yes,Fiber Optic,No,No,Yes,Yes,No,No,Month-to-month,Mailed Check,47.65,2961.95,1,4,Yes,4-6 Years,Low,Low,47.01507936507936
CUST000094,Female,64,1,No,No,5,Yes,Fiber Optic,Yes,No,No,Yes,Yes,Yes,Two year,Mailed Check,66.28,275.58,0,1,Yes,0-1 Year,Medium,Low,55.116
CUST000095,Female,41,0,Yes,No,46,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,Bank Transfer,50.73,2303.53,0,1,Yes,2-4 Years,Low,Low,50.07673913043479
CUST000096,Female,49,0,Yes,Yes,23,No,Fiber Optic,Yes,No,No,Yes,Yes,Yes,Two year,Mailed Check,108.7,2460.82,1,4,No,1-2 Years,High,Low,106.99217391304349
CUST000097,Female,60,1,Yes,Yes,40,No,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,One year,Credit Card,70.45,2852.84,1,1,No,2-4 Years,Medium,Low,71.321
CUST000098,Male,47,0,Yes,Yes,47,No,Fiber Optic,No,No,Yes,Yes,No,Yes,Month-to-month,Bank Transfer,52.54,2424.78,1,5,No,2-4 Years,Medium,Low,51.59106382978724
CUST000099,Male,67,1,No,No,23,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Two year,Credit Card,80.94,1843.14,3,5,No,1-2 Years,High,Medium,80.13652173913044
CUST000100,Male,34,0,No,No,10,No,Fiber Optic,Yes,Yes,Yes,Yes,No,Yes,Two year,Electronic Check,49.15,441.25,0,5,Yes,0-1 Year,Low,Low,44.125
CUST000101,Female,67,1,Yes,Yes,26,No,DSL,No,No,Yes,No,No,No,Month-to-month,Electronic Check,51.36,1294.33,3,4,Yes,2-4 Years,Low,Medium,49.78192307692307
CUST000102,Male,39,0,No,No,26,No,Cable,No,No,Yes,No,Yes,No,Month-to-month,Electronic Check,56.1,1430.7,2,2,Yes,2-4 Years,Medium,Medium,55.026923076923076
CUST000103,Female,36,0,No,No,6,Yes,Fiber Optic,No,No,Yes,Yes,No,No,Month-to-month,Bank Transfer,72.27,433.3,2,1,Yes,0-1 Year,Medium,Medium,72.21666666666667
CUST000104,Male,47,0,Yes,No,64,No,Fiber Optic,No,No,No,Yes,Yes,No,Month-to-month,Bank Transfer,85.59,5505.06,0,4,Yes,4-6 Years,High,Low,86.0165625
CUST000105,Male,21,0,No,No,51,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Bank Transfer,60.06,3070.0,0,3,No,4-6 Years,Medium,Low,60.19607843137255
CUST000106,Female,56,0,Yes,Yes,25,No,Fiber Optic,No,No,Yes,Yes,No,No,Month-to-month,Bank Transfer,63.79,1606.0,1,5,No,2-4 Years,Medium,Low,64.24
CUST000107,Female,49,0,No,No,68,No,Cable,No,Yes,No,No,Yes,No,Month-to-month,Credit Card,43.8,3004.97,4,5,Yes,4-6 Years,Low,High,44.190735294117644
CUST000108,Female,58,0,Yes,No,67,Yes,Fiber Optic,Yes,Yes,No,No,No,Yes,Month-to-month,Credit Card,68.6,4585.45,1,5,No,4-6 Years,Medium,Low,68.43955223880597
CUST000109,Male,63,1,Yes,No,7,No,Unknown,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Bank Transfer,38.45,323.95,2,4,No,0-1 Year,Low,Medium,46.278571428571425
CUST000110,Female,52,0,No,No,43,Yes,DSL,Yes,No,No,Yes,No,No,One year,Mailed Check,65.99,2815.61,1,3,No,2-4 Years,Medium,Low,65.4793023255814
CUST000111,Male,36,0,No,No,35,No,Cable,No,Yes,No,Yes,No,Yes,Month-to-month,Mailed Check,82.95,2921.97,1,4,Yes,2-4 Years,High,Low,83.48485714285714
CUST000112,Female,35,0,Yes,Yes,68,Yes,Cable,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Mailed Check,47.09,3154.19,3,2,Yes,4-6 Years,Low,Medium,46.38514705882353
CUST000113,Male,80,1,No,No,70,No,DSL,No,Yes,No,No,No,Yes,Two year,Electronic Check,50.69,3566.58,0,2,Yes,4-6 Years,Low,Low,50.951142857142855
CUST000114,Male,76,1,No,No,4,Yes,Cable,Yes,No,No,Yes,No,Yes,Month-to-month,Electronic Check,70.37,332.89,1,3,Yes,0-1 Year,Medium,Low,83.2225
CUST000115,Female,51,0,Yes,No,69,Yes,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Bank Transfer,60.83,4232.16,3,5,No,4-6 Years,Medium,Medium,61.33565217391304
CUST000116,Female,29,0,No,No,24,Yes,DSL,No,Yes,Yes,Yes,No,No,Two year,Electronic Check,52.66,1235.13,1,2,Yes,1-2 Years,Medium,Low,51.463750000000005
CUST000117,Female,79,1,No,No,34,Yes,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Mailed Check,75.85,2601.23,2,3,No,2-4 Years,High,Medium,76.50676470588235
CUST000118,Male,41,0,Yes,No,37,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Bank Transfer,69.25,2511.62,1,5,Yes,2-4 Years,Medium,Low,67.88162162162162
CUST000119,Male,75,1,Yes,Yes,70,No,Cable,Yes,Yes,No,Yes,No,Yes,Month-to-month,Mailed Check,20.0,1394.82,2,1,Yes,4-6 Years,Low,Medium,19.926
CUST000120,Male,64,1,No,No,39,Yes,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Electronic Check,106.87,4220.08,0,1,No,2-4 Years,High,Low,108.20717948717949
CUST000121,Female,20,0,No,No,60,Yes,Fiber Optic,No,No,No,No,No,No,Month-to-month,Credit Card,86.05,5181.42,0,3,Yes,4-6 Years,High,Low,86.357
CUST000122,Male,43,0,Yes,No,68,No,Cable,No,No,No,Yes,Yes,No,Month-to-month,Bank Transfer,79.44,5364.54,0,1,Yes,4-6 Years,High,Low,78.89029411764706
CUST000123,Male,57,0,Yes,Yes,53,Yes,Fiber Optic,No,Yes,Yes,Yes,No,No,Month-to-month,Credit Card,67.2,3592.13,2,1,Yes,4-6 Years,Medium,Medium,67.77603773584906
CUST000124,Female,32,0,No,No,37,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,One year,Mailed Check,78.67,2917.49,0,1,No,2-4 Years,High,Low,78.85108108108108
CUST000125,Female,68,1,No,No,48,No,Fiber Optic,No,Yes,No,Yes,Yes,No,Two year,Credit Card,95.78,4634.13,3,1,Yes,2-4 Years,High,Medium,96.544375
CUST000126,Male,53,0,No,No,53,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Month-to-month,Mailed Check,66.41,3540.57,0,5,Yes,4-6 Years,Medium,Low,66.80320754716982
CUST000127,Male,30,0,No,No,9,No,Fiber Optic,No,Yes,Yes,Yes,Yes,No,Two year,Credit Card,80.6,713.0,2,2,Yes,0-1 Year,High,Medium,79.22222222222223
CUST000128,Female,42,0,No,No,36,No,Fiber Optic,No,No,Yes,No,No,Yes,Month-to-month,Mailed Check,101.56,3601.65,1,2,Yes,2-4 Years,High,Low,100.04583333333333
CUST000129,Female,34,0,No,No,2,No,Fiber Optic,Yes,No,Yes,No,No,No,One year,Mailed Check,62.72,181.42,0,4,No,0-1 Year,Medium,Low,90.71
CUST000130,Male,28,0,No,No,45,Yes,Fiber Optic,Yes,Yes,Yes,Yes,No,Yes,Two year,Credit Card,74.13,3284.01,0,2,Yes,2-4 Years,High,Low,72.97800000000001
CUST000131,Female,47,0,Yes,No,64,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Bank Transfer,77.88,4988.61,2,3,Yes,4-6 Years,High,Medium,77.94703125
CUST000132,Male,69,1,Yes,No,55,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Mailed Check,68.88,3783.48,1,2,No,4-6 Years,Medium,Low,68.79054545454545
CUST000133,Male,37,0,Yes,Yes,28,No,Fiber Optic,Yes,Yes,Yes,Yes,No,No,One year,Bank Transfer,79.03,2220.74,0,1,No,2-4 Years,High,Low,79.31214285714285
CUST000134,Male,32,0,No,No,5,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,One year,Mailed Check,75.23,427.61,3,3,Yes,0-1 Year,High,Medium,85.522
CUST000135,Female,54,0,No,No,30,Yes,Fiber Optic,Yes,No,Yes,Yes,No,Yes,Two year,Bank Transfer,67.23,2029.52,3,5,No,2-4 Years,Medium,Medium,67.65066666666667
CUST000136,Female,80,1,Yes,No,50,No,Cable,No,Yes,No,No,No,Yes,One year,Mailed Check,88.48,4374.28,1,5,Yes,4-6 Years,High,Low,87.48559999999999
CUST000137,Male,63,1,Yes,Yes,31,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Two year,Mailed Check,73.0,2246.19,1,3,No,2-4 Years,High,Low,72.45774193548387
CUST000138,Female,29,0,No,No,11,No,DSL,Yes,Yes,Yes,No,Yes,No,Two year,Electronic Check,72.57,773.29,0,4,No,0-1 Year,High,Low,70.2990909090909
CUST000139,Male,75,1,Yes,No,71,No,Fiber Optic,No,No,No,Yes,Yes,Yes,Month-to-month,Mailed Check,36.77,2586.64,1,1,Yes,4-6 Years,Low,Low,36.431549295774644
CUST000140,Female,64,1,Yes,Yes,31,Yes,Fiber Optic,No,No,No,No,No,No,Month-to-month,Credit Card,65.54,2007.79,4,5,No,2-4 Years,Medium,High,64.76741935483871
